                      B:B:AES |            ctr.key:104857600 |    6 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  10, sds 000) exs: 316858, 316859, 316860, mpv: [1.664e-04, 1.800e-04, 5.456e-03], [; ; ]
                      B:B:AES |            ctr.key:104857600 |    7 | - (  0/ 735 ~0.000; c - (  1/ 245) | hcr:   6, max  10, sds 000) exs: 377967, 377968, 377969, mpv: [1.600e-03, 3.691e-04, 1.706e-04], [; ; ]
                      B:B:AES |            ctr.key:104857600 |    8 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  10, sds 000) exs: 377970, 377971, 377972, mpv: [1.644e-03, 5.700e-03, 5.786e-04], [; ; ]
                      B:B:AES |           ctr.key:1048576000 |    1 | R (831/ 894 ~0.930; c R (294/ 298) | hcr:   6, max  10, sm: 90.00 %, sds 111) exs: 321878, 321879, 321880, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                      B:B:AES |           ctr.key:1048576000 |    2 | R (788/ 897 ~0.878; c R (283/ 299) | hcr:   6, max  10, sm: 80.00 %, sds 111) exs: 337830, 337831, 337832, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                      B:B:AES |           ctr.key:1048576000 |    3 | R (159/ 897 ~0.177; c R ( 57/ 299) | hcr:   6, max  10, sm: 70.00 %, sds 111) exs: 337833, 337834, 337835, mpv: [5.929e-323, 5.929e-323, 5.929e-323]
                      B:B:AES |           ctr.key:1048576000 |    4 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:   6, max  10, sds 000) exs: 315118, 315119, 315120, mpv: [2.045e-04, 4.300e-03, 2.943e-04], [; ; ]
                      B:B:AES |           ctr.key:1048576000 |    5 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:   6, max  10, sds 000) exs: 315124, 315125, 315126, mpv: [9.375e-04, 1.600e-04, 4.443e-04], [; ; ]
                      B:B:AES |           ctr.key:1048576000 |    6 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:   6, max  10, sds 000) exs: 340198, 340199, 340200, mpv: [2.331e-03, 1.024e-04, 4.097e-03], [; ; ]
                      B:B:AES |           ctr.key:1048576000 |    7 | - (  1/ 897 ~0.001; c - (  1/ 299) | hcr:   6, max  10, sds 000) exs: 377973, 377974, 377975, mpv: [9.496e-07, 2.369e-04, 2.793e-05], [168; ; ]
                      B:B:AES |           ctr.key:1048576000 |    8 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:   6, max  10, sds 000) exs: 377976, 377977, 377978, mpv: [5.130e-04, 1.020e-03, 1.703e-03], [; ; ]
                      B:B:AES |                 ctr:10485760 |    1 | R (602/ 636 ~0.947; c R (210/ 212) | hcr:   6, max  10, sm: 90.00 %, sds 111) exs: 313235, 313101, 313237, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                      B:B:AES |                 ctr:10485760 |    2 | R (595/ 636 ~0.936; c R (209/ 212) | hcr:   6, max  10, sm: 80.00 %, sds 111) exs: 301406, 313240, 313103, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                      B:B:AES |                 ctr:10485760 |    3 | R (167/ 642 ~0.260; c R ( 61/ 214) | hcr:   6, max  10, sm: 70.00 %, sds 111) exs: 301409, 304558, 307702, mpv: [1.000e-300, 1.000e-300, 1.000e-300]
                      B:B:AES |                 ctr:10485760 |    4 | - (  1/ 642 ~0.002; c - (  0/ 214) | hcr:   6, max  10, sds 000) exs: 301412, 304564, 307708, mpv: [7.866e-04, 3.525e-07, 8.074e-05], [; 194; ]
                      B:B:AES |                 ctr:10485760 |    5 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  10, sds 000) exs: 301415, 304570, 307714, mpv: [4.744e-04, 8.663e-04, 1.487e-03], [; ; ]
                      B:B:AES |                 ctr:10485760 |    6 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  10, sds 000) exs: 314994, 314999, 314996, mpv: [7.422e-03, 2.244e-03, 3.577e-03], [; ; ]
                      B:B:AES |                 ctr:10485760 |    7 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  10, sds 000) exs: 377979, 377980, 377981, mpv: [4.715e-03, 1.964e-03, 6.196e-03], [; ; ]
                      B:B:AES |                 ctr:10485760 |    8 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  10, sds 000) exs: 377982, 377983, 377984, mpv: [8.932e-05, 2.000e-03, 4.387e-04], [; ; ]
                      B:B:AES |                ctr:104857600 |    1 | R (635/ 729 ~0.871; c R (241/ 243) | hcr:   6, max  10, sm: 90.00 %, sds 111) exs: 302975, 313099, 313234, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                      B:B:AES |                ctr:104857600 |    2 | R (646/ 735 ~0.879; c R (243/ 245) | hcr:   6, max  10, sm: 80.00 %, sds 111) exs: 302978, 304555, 307699, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                      B:B:AES |                ctr:104857600 |    3 | R (262/ 735 ~0.356; c R ( 91/ 245) | hcr:   6, max  10, sm: 70.00 %, sds 111) exs: 302981, 304561, 307705, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
