                   P::std_lcg |        sac.key:b128:10485760 |    0 | R (559/ 636 ~0.879; c R (194/ 212) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339372, 339373, 339374, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |       sac.key:b128:104857600 |    0 | R (596/ 729 ~0.818; c R (224/ 243) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339384, 339385, 339386, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |      sac.key:b128:1048576000 |    0 | R (771/ 891 ~0.865; c R (272/ 297) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339396, 339397, 339398, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |         sac.key:b16:10485760 |    0 | R (573/ 636 ~0.901; c R (197/ 212) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339300, 339301, 339302, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |        sac.key:b16:104857600 |    0 | R (609/ 729 ~0.835; c R (229/ 243) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339312, 339313, 339314, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |       sac.key:b16:1048576000 |    0 | R (795/ 891 ~0.892; c R (281/ 297) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339324, 339325, 339326, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |         sac.key:b32:10485760 |    0 | R (562/ 636 ~0.884; c R (192/ 212) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339336, 339337, 339338, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |        sac.key:b32:104857600 |    0 | R (598/ 729 ~0.820; c R (224/ 243) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339348, 339349, 339350, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |       sac.key:b32:1048576000 |    0 | R (783/ 891 ~0.879; c R (276/ 297) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339360, 339361, 339362, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |       sac.key:b8192:10485760 |    0 | R (554/ 636 ~0.871; c R (191/ 212) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339444, 339445, 339446, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
