                    H::Abacus |                sac:104857600 |    1 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max 280, sds 000) exs: 303028, 304653, 307797, mpv: [6.179e-04, 5.283e-04, 5.100e-04], [; ; ]
                    H::Abacus |                sac:104857600 |    2 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max 280, sds 000) exs: 303031, 304659, 307803, mpv: [6.233e-04, 4.300e-03, 2.400e-03], [; ; ]
                    H::Abacus |                sac:104857600 |    3 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max 280, sds 000) exs: 303034, 304665, 307809, mpv: [8.473e-04, 5.557e-03, 2.707e-03], [; ; ]
                    H::Abacus |                sac:104857600 |    4 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max 280, sds 000) exs: 377931, 377932, 377933, mpv: [1.859e-03, 2.800e-04, 1.296e-03], [; ; ]
                    H::Abacus |                sac:104857600 |    5 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max 280, sds 000) exs: 377934, 377935, 377936, mpv: [2.100e-03, 7.400e-04, 5.405e-04], [; ; ]
                    H::Abacus |               sac:1048576000 |    1 | - (  2/ 897 ~0.002; c R (  3/ 299) | hcr:  - , max 280, sds 000) exs: 321025, 321127, 321232, mpv: [1.029e-05, 7.559e-06, 1.756e-06], [; 168; 168]
                    H::Abacus |               sac:1048576000 |    2 | - (  0/ 897 ~0.000; c - (  0/ 299) | hcr:  - , max 280, sds 000) exs: 336024, 336025, 336026, mpv: [4.680e-03, 2.574e-03, 5.237e-03], [; ; ]
                    H::Abacus |               sac:1048576000 |    3 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:  - , max 280, sds 000) exs: 336027, 336028, 336029, mpv: [5.617e-04, 1.005e-04, 5.700e-05], [; ; ]
                    H::Abacus |               sac:1048576000 |    4 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:  - , max 280, sds 000) exs: 377937, 377938, 377939, mpv: [1.704e-03, 3.000e-03, 5.031e-04], [; ; ]
                    H::Abacus |               sac:1048576000 |    5 | - (  1/ 897 ~0.001; c - (  2/ 299) | hcr:  - , max 280, sds 000) exs: 377940, 377941, 377942, mpv: [3.885e-04, 3.273e-06, 3.408e-05], [; 168; ]
