               B:M:gmimc-S45a |          sac:s15mb:104857600 |    2 | - (  0/ 816 ~0.000; c - (  0/ 272) | hcr:  - , max 121, sds 000) exs: 347234, 347235, 347236, mpv: [2.532e-03, 6.300e-05, 5.880e-04], [; ; ]
               B:M:gmimc-S45a |           sac:s15ob:10485760 |    1 | - (  0/ 696 ~0.000; c - (  0/ 232) | hcr:  - , max 121, sds 000) exs: 347192, 347193, 347194, mpv: [2.600e-03, 2.707e-03, 4.715e-03], [; ; ]
               B:M:gmimc-S45a |           sac:s15ob:10485760 |    2 | - (  0/ 696 ~0.000; c - (  0/ 232) | hcr:  - , max 121, sds 000) exs: 347222, 347223, 347224, mpv: [5.200e-03, 1.691e-03, 2.707e-03], [; ; ]
               B:M:gmimc-S45a |          sac:s15ob:104857600 |    1 | - (  0/ 777 ~0.000; c - (  1/ 259) | hcr:  - , max 121, sds 000) exs: 347207, 347208, 347209, mpv: [4.352e-04, 5.700e-04, 1.346e-03], [; ; ]
               B:M:gmimc-S45a |          sac:s15ob:104857600 |    2 | - (  0/ 789 ~0.000; c - (  0/ 263) | hcr:  - , max 121, sds 000) exs: 347237, 347238, 347239, mpv: [4.183e-04, 6.000e-03, 1.500e-03], [; ; ]
               B:M:gmimc-S45a |          sac:s16mb1:10485760 |    1 | - (  0/ 696 ~0.000; c - (  0/ 232) | hcr:  - , max 121, sds 000) exs: 347195, 347196, 347197, mpv: [1.899e-04, 1.399e-03, 2.200e-04], [; ; ]
               B:M:gmimc-S45a |          sac:s16mb1:10485760 |    2 | - (  0/ 723 ~0.000; c - (  0/ 241) | hcr:  - , max 121, sds 000) exs: 347225, 347226, 347227, mpv: [2.960e-04, 1.093e-04, 3.577e-03], [; ; ]
               B:M:gmimc-S45a |         sac:s16mb1:104857600 |    1 | - (  0/ 816 ~0.000; c - (  0/ 272) | hcr:  - , max 121, sds 000) exs: 347210, 347211, 347212, mpv: [1.182e-03, 1.949e-03, 3.447e-03], [; ; ]
               B:M:gmimc-S45a |         sac:s16mb1:104857600 |    2 | - (  0/ 816 ~0.000; c - (  0/ 272) | hcr:  - , max 121, sds 000) exs: 347240, 347241, 347242, mpv: [3.384e-03, 1.855e-05, 9.619e-04], [; ; ]
               B:M:gmimc-S45a |            sac:s6mb:10485760 |    1 | - (  0/ 723 ~0.000; c - (  0/ 241) | hcr:  - , max 121, sds 000) exs: 347183, 347184, 347185, mpv: [7.322e-04, 7.500e-04, 1.803e-03], [; ; ]
               B:M:gmimc-S45a |            sac:s6mb:10485760 |    2 | - (  0/ 723 ~0.000; c - (  0/ 241) | hcr:  - , max 121, sds 000) exs: 347213, 347214, 347215, mpv: [1.156e-03, 2.043e-03, 1.500e-03], [; ; ]
               B:M:gmimc-S45a |           sac:s6mb:104857600 |    1 | - (  0/ 789 ~0.000; c - (  0/ 263) | hcr:  - , max 121, sds 000) exs: 347198, 347199, 347200, mpv: [1.028e-03, 5.493e-04, 1.949e-03], [; ; ]
               B:M:gmimc-S45a |           sac:s6mb:104857600 |    2 | - (  0/ 816 ~0.000; c - (  0/ 272) | hcr:  - , max 121, sds 000) exs: 347228, 347229, 347230, mpv: [1.212e-03, 3.781e-03, 1.100e-03], [; ; ]
               B:M:gmimc-S45a |            sac:s6ob:10485760 |    1 | - (  0/ 696 ~0.000; c - (  0/ 232) | hcr:  - , max 121, sds 000) exs: 347186, 347187, 347188, mpv: [5.659e-03, 7.140e-04, 1.631e-04], [; ; ]
               B:M:gmimc-S45a |            sac:s6ob:10485760 |    2 | - (  1/ 696 ~0.001; c - (  0/ 232) | hcr:  - , max 121, sds 000) exs: 347216, 347217, 347218, mpv: [2.526e-03, 6.389e-06, 5.900e-04], [; 662; ]
