                   B:S:Chacha |             rnd.key:10485760 |    4 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  20, sds 000) exs: 329132, 329133, 329134, mpv: [2.000e-03, 5.130e-04, 2.244e-03], [; ; ]
                   B:S:Chacha |             rnd.key:10485760 |    5 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  20, sds 000) exs: 340420, 340421, 340422, mpv: [3.000e-04, 2.043e-03, 6.480e-04], [; ; ]
                   B:S:Chacha |            rnd.key:104857600 |    1 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  20, sds 000) exs: 331553, 331554, 331555, mpv: [1.404e-04, 4.190e-03, 3.644e-03], [; ; ]
                   B:S:Chacha |            rnd.key:104857600 |    2 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  20, sds 000) exs: 315772, 315773, 315774, mpv: [3.200e-03, 3.591e-03, 4.520e-04], [; ; ]
                   B:S:Chacha |            rnd.key:104857600 |    3 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  20, sds 000) exs: 315778, 315779, 315780, mpv: [2.062e-03, 1.200e-03, 5.309e-03], [; ; ]
                   B:S:Chacha |            rnd.key:104857600 |    4 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  20, sds 000) exs: 315784, 315785, 315786, mpv: [3.000e-03, 8.400e-04, 3.432e-04], [; ; ]
                   B:S:Chacha |            rnd.key:104857600 |    5 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  20, sds 000) exs: 315790, 315791, 315792, mpv: [1.236e-03, 3.544e-03, 4.503e-03], [; ; ]
                   B:S:Chacha |           rnd.key:1048576000 |    1 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:   6, max  20, sds 000) exs: 336228, 336229, 336233, mpv: [8.800e-04, 3.210e-04, 3.670e-04], [; ; ]
                   B:S:Chacha |           rnd.key:1048576000 |    2 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:   6, max  20, sds 000) exs: 335631, 335632, 335633, mpv: [4.600e-04, 1.611e-03, 1.034e-04], [; ; ]
                   B:S:Chacha |           rnd.key:1048576000 |    3 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:   6, max  20, sds 000) exs: 331556, 331557, 331558, mpv: [1.738e-03, 1.300e-03, 5.387e-04], [; ; ]
                   B:S:Chacha |           rnd.key:1048576000 |    4 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:   6, max  20, sds 000) exs: 316090, 316091, 316092, mpv: [1.113e-03, 4.180e-03, 1.330e-03], [; ; ]
                   B:S:Chacha |           rnd.key:1048576000 |    5 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:   6, max  20, sds 000) exs: 316102, 316103, 316104, mpv: [5.800e-05, 3.306e-04, 3.100e-03], [; ; ]
                   B:S:Chacha |             sac.key:10485760 |    2 | R (174/ 642 ~0.271; c R ( 64/ 214) | hcr:   6, max  20, sm: 90.00 %, sds 111) exs: 324933, 324934, 324935, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   B:S:Chacha |             sac.key:10485760 |    3 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  20, sds 000) exs: 324936, 324937, 324938, mpv: [2.043e-03, 4.981e-03, 3.605e-04], [; ; ]
                   B:S:Chacha |             sac.key:10485760 |    4 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  20, sds 000) exs: 324939, 324940, 324941, mpv: [5.800e-04, 8.074e-05, 6.480e-04], [; ; ]
                   B:S:Chacha |             sac.key:10485760 |    5 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  20, sds 000) exs: 329948, 329949, 329950, mpv: [7.008e-05, 2.212e-04, 4.390e-04], [; ; ]
